#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E408
#Date Time: 2017-10-14 10:35:46.065
#Trigger:Source: Channel 2Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: -6.5 V
#Channel 2: Range: 200 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.020478333333333334,9.0658048219490919,-0.53089012390511403
-0.020473333333333333,8.3797241687781447,-0.53089012390511403
-0.020468333333333331,7.6462017683131265,-0.53189519324070866
-0.020463333333333333,6.9053806374958979,-0.53256523946443779
-0.020458333333333332,6.179156967384098,-0.53323528568816736
-0.020453333333333334,5.4894269490367105,-0.53390533191189682
-0.020448333333333332,4.8617361386888227,-0.53424035502376166
-0.020443333333333334,4.2924351711642537,-0.53524542435935551
-0.020438333333333333,3.796121507167991,-0.53591547058308542
-0.020433333333333331,3.3654964163477663,-0.53625049369495048
-0.020428333333333333,3.0078586290566904,-0.53692053991867972
-0.020423333333333332,2.7122600497648466,-0.53792560925427391
-0.020418333333333333,2.4787006784727161,-0.53759058614240929
-0.020413333333333332,2.3071805151799794,-0.53792560925427402
-0.020408333333333334,2.1867514643574193,-0.53792560925427402
-0.020403333333333332,2.1210628911814773,-0.53926570170173305
-0.020398333333333334,2.10281606529928,-0.53893067858986843
-0.020393333333333333,2.1283616215343599,-0.53993574792546262
-0.020388333333333331,2.2013489250632334,-0.54027077103732746
-0.020383333333333333,2.3108298803564207,-0.54060579414919208
-0.020378333333333332,2.4604538525905943,-0.54127584037292198
-0.020373333333333334,2.6465714765890112,-0.54194588659665122
-0.020368333333333332,2.8655333871754833,-0.5429509559322454
-0.020363333333333334,3.1136902191733729,-0.54328597904411013
-0.020358333333333332,3.3873926074065759,-0.54328597904411025
-0.020353333333333334,3.686640551874619,-0.54395602526783937
-0.020348333333333333,4.0114340525780223,-0.544961094603434
-0.020343333333333331,4.3508250139872144,-0.54462607149157005
-0.020338333333333333,4.7048134361018512,-0.54630118705089303
-0.020333333333333332,5.0806980492752949,-0.54630118705089303
-0.020328333333333334,5.4675307579780634,-0.54663621016275787
-0.020323333333333332,5.8580128318572724,-0.54630118705089303
-0.020318333333333334,6.2630923664420619,-0.54730625638648689
-0.020313333333333333,6.6754706313801027,-0.54764127949835217
-0.020308333333333334,7.0841995311413317,-0.54797630261021679
-0.020303333333333333,7.4892790657264907,-0.54864634883394647
-0.020298333333333331,7.8870598699587546,-0.5499864412814055
-0.020293333333333333,8.2665938483084673,-0.5499864412814055
-0.020288333333333332,8.6315303659525888,-0.5509915106169998
-0.020283333333333334,9.0037656139495912,-0.55166155684072926
-0.020278333333333332,9.3650527664172714,-0.5519965799525941
-0.020273333333333334,9.7226905537083468,-0.55233160306445872
-0.020268333333333333,10.062081515117541,-0.55266662617632356
-0.020263333333333331,10.3832256506445,-0.55400671862378259
-0.020258333333333333,10.675174864759665,-0.55400671862378259
-0.020253333333333332,10.886838044993315,-0.55501178795937689
-0.020248333333333333,11.018215191345137,-0.55501178795937689
