#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E408
#Date Time: 2017-10-14 10:36:52.561
#Trigger:Source: Channel 2Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: -6.5 V
#Channel 2: Range: 200 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.020477500000000003,11.058358208285991,-0.5285449621220607
-0.020472500000000001,11.058358208285991,-0.52921500834579016
-0.0204675,11.051059477933109,-0.53022007768138446
-0.020462500000000002,11.051059477933109,-0.53022007768138446
-0.0204575,11.043760747580226,-0.53122514701697876
-0.020452500000000002,11.040111382403785,-0.53156017012884349
-0.0204475,11.040111382403785,-0.53256523946443779
-0.020442500000000002,11.032812652050906,-0.53290026257630241
-0.020437500000000001,11.032812652050902,-0.53357030880003209
-0.020432499999999999,11.0328126520509,-0.53357030880003209
-0.020427500000000001,11.029163286874461,-0.53357030880003209
-0.0204225,11.025513921698021,-0.53390533191189737
-0.020417500000000002,11.029163286874461,-0.53524542435935596
-0.0204125,11.025513921698019,-0.53558044747122069
-0.020407500000000002,11.021864556521578,-0.53658551680681499
-0.0204025,11.021864556521578,-0.53692053991867972
-0.020397500000000002,11.018215191345138,-0.53725556303054434
-0.020392500000000001,11.018215191345137,-0.53826063236613875
-0.020387499999999999,11.018215191345135,-0.53826063236613908
-0.020382500000000001,11.014565826168695,-0.53893067858986832
-0.0203775,11.018215191345135,-0.53960072481359822
-0.020372500000000002,11.014565826168695,-0.54060579414919208
-0.0203675,11.014565826168695,-0.53993574792546262
-0.020362500000000002,11.010916460992258,-0.5416108634847856
-0.020357500000000001,11.010916460992256,-0.54194588659665122
-0.020352500000000003,11.010916460992256,-0.54295095593224496
-0.020347500000000001,11.007267095815813,-0.5429509559322454
-0.020342499999999999,11.007267095815813,-0.5429509559322454
-0.020337500000000001,11.007267095815813,-0.5429509559322454
-0.0203325,11.007267095815813,-0.5439560252678397
-0.020327500000000002,11.003617730639373,-0.54429104837970455
-0.0203225,11.003617730639373,-0.544961094603434
-0.020317500000000002,11.007267095815811,-0.54529611771529873
-0.020312500000000001,11.003617730639373,-0.54630118705089303
-0.020307500000000003,10.999968365462932,-0.54730625638648689
-0.020302500000000001,10.996319000286491,-0.5479763026102169
-0.0202975,10.996319000286491,-0.5479763026102169
-0.020292500000000002,10.996319000286491,-0.5479763026102169
-0.0202875,10.996319000286491,-0.54931639505767593
-0.020282500000000002,10.996319000286491,-0.54931639505767593
-0.0202775,10.989020269933608,-0.55032146439327023
-0.020272500000000002,10.992669635110046,-0.55032146439327023
-0.020267500000000001,10.989020269933608,-0.55132653372886453
-0.020262499999999999,10.985370904757163,-0.55199657995259399
-0.020257500000000001,10.978072174404284,-0.55166155684072926
